Date,Open,High,Low,Close,Volume,Adj Close
2015-08-18,3495.38,3495.38,3495.38,3495.38,000,3495.38
2015-08-17,3497.90,3497.90,3497.90,3497.90,000,3497.90
2015-08-14,3491.03,3491.03,3491.03,3491.03,000,3491.03
2015-08-13,3516.15,3516.15,3516.15,3516.15,000,3516.15
2015-08-12,3484.41,3484.41,3484.41,3484.41,000,3484.41
2015-08-11,3605.28,3605.28,3605.28,3605.28,000,3605.28
2015-08-10,3674.94,3674.94,3674.94,3674.94,000,3674.94
2015-08-07,3637.80,3637.80,3637.80,3637.80,000,3637.80
2015-08-06,3668.47,3668.47,3668.47,3668.47,000,3668.47
2015-08-05,3676.75,3676.75,3676.75,3676.75,000,3676.75
2015-08-04,3619.31,3619.31,3619.31,3619.31,000,3619.31
2015-08-03,3635.40,3635.40,3635.40,3635.40,000,3635.40
2015-07-31,3600.69,3600.69,3600.69,3600.69,000,3600.69
2015-07-30,3583.79,3583.79,3583.79,3583.79,000,3583.79
2015-07-29,3575.53,3575.53,3575.53,3575.53,000,3575.53
2015-07-28,3554.11,3554.11,3554.11,3554.11,000,3554.11
2015-07-27,3513.10,3513.10,3513.10,3513.10,000,3513.10
2015-07-24,3600.00,3600.00,3600.00,3600.00,000,3600.00
2015-07-23,3634.64,3634.64,3634.64,3634.64,000,3634.64
2015-07-22,3635.58,3635.58,3635.58,3635.58,000,3635.58
2015-07-21,3647.96,3647.96,3647.96,3647.96,000,3647.96
2015-07-20,3686.58,3686.58,3686.58,3686.58,000,3686.58
2015-07-17,3670.34,3670.34,3670.34,3670.34,000,3670.34
2015-07-16,3676.41,3676.41,3676.41,3676.41,000,3676.41
2015-07-15,3623.87,3623.87,3623.87,3623.87,000,3623.87
2015-07-14,3607.19,3607.19,3607.19,3607.19,000,3607.19
2015-07-13,3590.43,3590.43,3590.43,3590.43,000,3590.43
2015-07-10,3528.81,3528.81,3528.81,3528.81,000,3528.81
2015-07-09,3420.03,3420.03,3420.03,3420.03,000,3420.03
2015-07-08,3327.50,3327.50,3327.50,3327.50,000,3327.50
2015-07-07,3294.19,3294.19,3294.19,3294.19,000,3294.19
2015-07-06,3365.20,3365.20,3365.20,3365.20,000,3365.20
2015-07-03,3441.76,3441.76,3441.76,3441.76,000,3441.76
2015-07-02,3463.25,3463.25,3463.25,3463.25,000,3463.25
2015-07-01,3496.28,3496.28,3496.28,3496.28,000,3496.28
2015-06-30,3424.30,3424.30,3424.30,3424.30,000,3424.30
2015-06-29,3468.90,3468.90,3468.90,3468.90,000,3468.90
2015-06-26,3621.37,3621.37,3621.37,3621.37,000,3621.37
2015-06-25,3610.91,3610.91,3610.91,3610.91,000,3610.91
2015-06-24,3610.95,3610.95,3610.95,3610.95,000,3610.95
2015-06-23,3625.97,3625.97,3625.97,3625.97,000,3625.97
2015-06-22,3596.07,3596.07,3596.07,3596.07,000,3596.07
2015-06-19,3455.80,3455.80,3455.80,3455.80,000,3455.80
2015-06-18,3450.45,3450.45,3450.45,3450.45,000,3450.45
2015-06-17,3428.76,3428.76,3428.76,3428.76,000,3428.76
2015-06-16,3454.09,3454.09,3454.09,3454.09,000,3454.09
2015-06-15,3438.07,3438.07,3438.07,3438.07,000,3438.07
2015-06-12,3502.77,3502.77,3502.77,3502.77,000,3502.77
2015-06-11,3551.91,3551.91,3551.91,3551.91,000,3551.91
2015-06-10,3526.48,3526.48,3526.48,3526.48,000,3526.48
2015-06-09,3456.79,3456.79,3456.79,3456.79,000,3456.79
2015-06-08,3468.31,3468.31,3468.31,3468.31,000,3468.31
2015-06-05,3510.01,3510.01,3510.01,3510.01,000,3510.01
2015-06-04,3556.38,3556.38,3556.38,3556.38,000,3556.38
2015-06-03,3583.82,3583.82,3583.82,3583.82,000,3583.82
2015-06-02,3561.89,3561.89,3561.89,3561.89,000,3561.89
2015-06-01,3575.04,3575.04,3575.04,3575.04,000,3575.04
2015-05-29,3570.78,3570.78,3570.78,3570.78,000,3570.78
